"year";"country_of_jury";"whichContest";"male_count";"mean_age"
2016;"Albania";"f";3;51,8
2016;"Albania";"sf2";3;51,8
2016;"Armenia";"f";4;38,8
2016;"Armenia";"sf1";4;38,8
2016;"Australia";"f";3;45,2
2016;"Australia";"sf2";3;45,2
2016;"Austria";"f";4;39,2
2016;"Austria";"sf1";4;39,2
2016;"Azerbaijan";"f";2;49,4
2016;"Azerbaijan";"sf1";2;48,4
2016;"Belarus";"f";3;39,4
2016;"Belarus";"sf2";3;39,4
2016;"Belgium";"f";2;41,8
2016;"Belgium";"sf2";2;41,8
2016;"Bosnia and Herzegovina";"f";4;40,2
2016;"Bosnia and Herzegovina";"sf1";3;45,4
2016;"Bulgaria";"f";3;47
2016;"Bulgaria";"sf2";3;47
2016;"Croatia";"f";2;38
2016;"Croatia";"sf1";2;38
2016;"Cyprus";"f";2;40,4
2016;"Cyprus";"sf1";2;40,4
2016;"Czech-republic";"f";3;52,4
2016;"Czech-republic";"sf1";3;52,4
2016;"Denmark";"f";3;48,6
2016;"Denmark";"sf2";3;48,6
2016;"Estonia";"f";2;43,8
2016;"Estonia";"sf1";2;43,8
2016;"Finland";"f";3;37,6
2016;"Finland";"sf1";3;37,6
2016;"France";"f";3;45
2016;"France";"sf1";3;45
2016;"Georgia";"f";3;35,6
2016;"Georgia";"sf2";3;35,6
2016;"Germany";"f";2;39,2
2016;"Germany";"sf2";2;39,2
2016;"Greece";"f";3;47,6
2016;"Greece";"sf1";3;47,6
2016;"Hungary";"f";4;46,4
2016;"Hungary";"sf1";4;46,4
2016;"Iceland";"f";2;44,4
2016;"Iceland";"sf1";2;44,4
2016;"Ireland";"f";2;36
2016;"Ireland";"sf2";2;36
2016;"Israel";"f";3;46,4
2016;"Israel";"sf2";3;46,4
2016;"Italy";"f";2;44,4
2016;"Italy";"sf2";3;44,4
2016;"Latvia";"f";3;35,6
2016;"Latvia";"sf2";3;35,6
2016;"Lithuania";"f";3;40,6
2016;"Lithuania";"sf2";3;40,6
2016;"Macedonia";"f";3;43,4
2016;"Macedonia";"sf2";3;43,4
2016;"Malta";"f";3;32,2
2016;"Malta";"sf1";3;32,2
2016;"Moldova";"f";3;36,4
2016;"Moldova";"sf1";3;36,4
2016;"Montenegro";"f";3;40,6
2016;"Montenegro";"sf1";3;40,6
2016;"Norway";"f";3;41,8
2016;"Norway";"sf2";3;41,8
2016;"Poland";"f";4;38,8
2016;"Poland";"sf2";4;38,8
2016;"Russia";"f";3;46,4
2016;"Russia";"sf1";2;47,25
2016;"San Marino";"f";3;36
2016;"San Marino";"sf1";3;36
2016;"Serbia";"f";3;48,2
2016;"Serbia";"sf2";3;48,2
2016;"Slovenia";"f";2;35,8
2016;"Slovenia";"sf2";2;35,8
2016;"Spain";"f";3;29
2016;"Spain";"sf1";3;29
2016;"Sweden";"f";3;32,6
2016;"Sweden";"sf1";3;32,6
2016;"Switzerland";"f";3;30,6
2016;"Switzerland";"sf2";3;30,6
2016;"The-netherlands";"f";2;51,2
2016;"The-netherlands";"sf1";2;51,2
2016;"Ukraine";"f";3;46,6
2016;"Ukraine";"sf2";3;46,6
2016;"United Kingdom";"f";3;40,6
2016;"United Kingdom";"sf2";3;40,6
2017;"Albania";"f";3;41,4
2017;"Albania";"sf1";2;41,2
2017;"Armenia";"f";3;40,2
2017;"Armenia";"sf1";3;41,6
2017;"Australia";"f";2;40
2017;"Australia";"sf1";2;40
2017;"Austria";"f";3;38,6
2017;"Austria";"sf2";3;38,6
2017;"Azerbaijan";"f";4;52,8
2017;"Azerbaijan";"sf1";3;53,8
2017;"Belarus";"f";2;43,8
2017;"Belarus";"sf2";2;43,8
2017;"Belgium";"f";3;34,2
2017;"Belgium";"sf1";3;34,2
2017;"Bulgaria";"f";2;48,8
2017;"Bulgaria";"sf2";2;48,8
2017;"Croatia";"f";3;42,4
2017;"Croatia";"sf2";3;42,4
2017;"Cyprus";"f";3;41,8
2017;"Cyprus";"sf1";3;41,8
2017;"Czech-republic";"f";3;41,8
2017;"Czech-republic";"sf1";2;35,6
2017;"Denmark";"f";2;41,2
2017;"Denmark";"sf2";2;41,2
2017;"Estonia";"f";3;38
2017;"Estonia";"sf2";3;38
2017;"Finland";"f";3;40,6
2017;"Finland";"sf1";3;40,6
2017;"France";"f";3;30,8
2017;"France";"sf2";3;30,8
2017;"Georgia";"f";2;42,4
2017;"Georgia";"sf1";2;42,4
2017;"Germany";"f";3;42,2
2017;"Germany";"sf2";3;42,2
2017;"Greece";"f";3;37,2
2017;"Greece";"sf1";3;37,2
2017;"Hungary";"f";3;37,8
2017;"Hungary";"sf2";3;37,8
2017;"Iceland";"f";2;45
2017;"Iceland";"sf1";2;45
2017;"Ireland";"f";2;36,4
2017;"Ireland";"sf2";2;36,4
2017;"Israel";"f";3;46,4
2017;"Israel";"sf2";3;46,4
2017;"Italy";"f";3;43,6
2017;"Italy";"sf1";3;43,6
2017;"Latvia";"f";3;37,8
2017;"Latvia";"sf1";3;37,8
2017;"Lithuania";"f";3;59,4
2017;"Lithuania";"sf2";3;59,4
2017;"Macedonia";"f";2;36,4
2017;"Macedonia";"sf2";2;36,4
2017;"Malta";"f";3;37,4
2017;"Malta";"sf2";3;37,4
2017;"Moldova";"f";2;37,8
2017;"Moldova";"sf1";2;36,2
2017;"Montenegro";"f";4;41,6
2017;"Montenegro";"sf1";3;38,4
2017;"Norway";"f";3;41,2
2017;"Norway";"sf2";3;41,2
2017;"Poland";"f";3;42,6
2017;"Poland";"sf1";3;42,6
2017;"Portugal";"f";3;51,6
2017;"Portugal";"sf1";3;51,6
2017;"Romania";"f";3;43
2017;"Romania";"sf2";3;43
2017;"San Marino";"f";3;34
2017;"San Marino";"sf2";3;36,8
2017;"Serbia";"f";2;49,4
2017;"Serbia";"sf2";2;49,4
2017;"Slovenia";"f";3;40,6
2017;"Slovenia";"sf1";3;40,6
2017;"Spain";"f";3;35,2
2017;"Spain";"sf1";3;35,2
2017;"Sweden";"f";3;39
2017;"Sweden";"sf1";3;39
2017;"Switzerland";"f";3;48,6
2017;"Switzerland";"sf2";3;48,6
2017;"The-netherlands";"f";3;43,8
2017;"The-netherlands";"sf2";3;43,8
2017;"Ukraine";"f";3;42,2
2017;"Ukraine";"sf2";3;42,2
2017;"United Kingdom";"f";2;45
2017;"United Kingdom";"sf1";2;45
2018;"Albania";"f";3;40,4
2018;"Albania";"sf1";3;40,4
2018;"Armenia";"f";3;42,2
2018;"Armenia";"sf1";3;42,2
2018;"Australia";"f";2;43,2
2018;"Australia";"sf2";2;43,2
2018;"Austria";"f";3;38
2018;"Austria";"sf1";3;38
2018;"Azerbaijan";"f";2;50,6
2018;"Azerbaijan";"sf1";2;50,6
2018;"Belarus";"f";2;46,8
2018;"Belarus";"sf1";2;46,8
2018;"Belgium";"f";3;36,2
2018;"Belgium";"sf1";3;36,2
2018;"Bulgaria";"f";2;43,2
2018;"Bulgaria";"sf1";2;43,2
2018;"Croatia";"f";3;49,4
2018;"Croatia";"sf1";2;46,4
2018;"Cyprus";"f";3;41,4
2018;"Cyprus";"sf1";3;41,4
2018;"Czech-republic";"f";3;39,6
2018;"Czech-republic";"sf1";3;39,6
2018;"Denmark";"f";2;37,4
2018;"Denmark";"sf2";2;37,4
2018;"Estonia";"f";3;36,2
2018;"Estonia";"sf1";3;36,2
2018;"Finland";"f";2;40,6
2018;"Finland";"sf1";2;40,6
2018;"France";"f";2;35,6
2018;"France";"sf2";2;35,6
2018;"Georgia";"f";2;44,6
2018;"Georgia";"sf2";3;49,8
2018;"Germany";"f";3;37
2018;"Germany";"sf2";3;37
2018;"Greece";"f";3;38,8
2018;"Greece";"sf1";3;38,8
2018;"Hungary";"f";3;50,8
2018;"Hungary";"sf2";3;50,8
2018;"Iceland";"f";3;42,4
2018;"Iceland";"sf1";3;42,4
2018;"Ireland";"f";3;40,2
2018;"Ireland";"sf1";3;40,2
2018;"Israel";"f";4;47,4
2018;"Israel";"sf1";3;46,8
2018;"Italy";"f";2;51,8
2018;"Italy";"sf2";2;51,8
2018;"Latvia";"f";2;34,8
2018;"Latvia";"sf2";2;34,8
2018;"Lithuania";"f";3;42,4
2018;"Lithuania";"sf1";3;42,4
2018;"Macedonia";"f";3;48,8
2018;"Macedonia";"sf1";3;48,8
2018;"Malta";"f";3;38
2018;"Malta";"sf2";3;38
2018;"Moldova";"f";2;39,4
2018;"Moldova";"sf2";2;39,4
2018;"Montenegro";"f";2;40,4
2018;"Montenegro";"sf2";2;40,4
2018;"Norway";"f";2;37,4
2018;"Norway";"sf2";2;37,4
2018;"Poland";"f";3;36,2
2018;"Poland";"sf2";3;36,2
2018;"Portugal";"f";3;39,6
2018;"Portugal";"sf1";3;39,6
2018;"Romania";"f";3;56
2018;"Romania";"sf2";3;56
2018;"Russia";"f";3;46,8
2018;"Russia";"sf2";3;46,8
2018;"San Marino";"f";3;31,6
2018;"San Marino";"sf2";3;31,6
2018;"Serbia";"f";3;51,6
2018;"Serbia";"sf2";3;51,6
2018;"Slovenia";"f";3;41
2018;"Slovenia";"sf2";3;41
2018;"Spain";"f";2;32,6
2018;"Spain";"sf1";2;32,6
2018;"Sweden";"f";2;37,4
2018;"Sweden";"sf2";2;37,4
2018;"Switzerland";"f";3;39
2018;"Switzerland";"sf1";3;39
2018;"The-netherlands";"f";3;44,2
2018;"The-netherlands";"sf2";3;44,2
2018;"Ukraine";"f";3;35,6
2018;"Ukraine";"sf2";3;35,6
2018;"United Kingdom";"f";2;30
2018;"United Kingdom";"sf1";2;30
